"Freq [GHz]","re(St(FloquetPort1:1,FloquetPort1:1)) []","im(St(FloquetPort1:1,FloquetPort1:1)) []","re(St(FloquetPort2:1,FloquetPort1:1)) []","im(St(FloquetPort2:1,FloquetPort1:1)) []"
4.9725,0.229614012389755,0.219341125127954,-0.267959620002389,0.887399309096549
4.98,0.23288489916344,0.217678063107743,-0.260752055006525,0.889103645431571
4.9875,0.236137362350954,0.215976560108628,-0.253538166790078,0.890747398001727
4.995,0.23937101370229,0.214236879970023,-0.246318465086298,0.892330628806076
5.0025,0.242585468851349,0.212459289685712,-0.239093457558339,0.893853403793914
5.01,0.245780347328244,0.210644059351518,-0.231863649777815,0.895315792829308
5.0175,0.248955272571033,0.208791462113209,-0.224629545203814,0.896717869655713
5.025,0.252109871936869,0.206901774114649,-0.21739164516233,0.898059711860684
5.0325,0.255243776712595,0.20497527444619,-0.210150448826141,0.899341400840672
5.04,0.258356622124768,0.203012245093328,-0.202906453195112,0.90056302176592
5.0475,0.261448047349145,0.201012970885592,-0.195660153076907,0.901724663545458
5.055,0.264517695519621,0.198977739445708,-0.188412041068133,0.902826418792197
5.0625,0.267565213736626,0.196906841139014,-0.181162607535888,0.903868383788125
5.07,0.270590253075001,0.194800569023135,-0.173912340599711,0.904850658449612
5.0775,0.273592468591354,0.192659218797932,-0.166661726113939,0.905773346292821
5.085,0.276571519330897,0.190483088755708,-0.159411247650458,0.906636554399232
5.0925,0.279527068333781,0.188272479731697,-0.152161386481842,0.907440393381279
5.1,0.282458782640931,0.186027695054815,-0.144912621564882,0.908184977348097
5.1075,0.28536633329939,0.183749040498694,-0.137665429524494,0.908870423871397
5.115,0.288249395367177,0.181436824232991,-0.130420284638003,0.909496853951453
5.1225,0.291107647917669,0.179091356774975,-0.123177658819798,0.910064391983212
5.13,0.293940774043512,0.176712950941402,-0.115938021606356,0.910573165722526
5.1375,0.296748460860072,0.17430192180067,-0.10870184014162,0.911023306252518
5.145,0.29953039950842,0.17185858662526,-0.101469579162747,0.911414947950064
5.1525,0.302286285157877,0.169383264844464,-0.0942417009861991,0.911748228452407
5.16,0.305015817008115,0.166876277997412,-0.0870186654941826,0.912023288623911
5.1675,0.307718698290815,0.164337949686373,-0.0798009301214332,0.912240272522933
5.175,0.310394636270901,0.161768605530368,-0.0725889498423413,0.912399327368838
5.1825,0.313043342247354,0.159168573119061,-0.0653831771584035,0.912500603509146
5.19,0.315664531553602,0.156538181966959,-0.0581840620860179,0.912544254386817
5.1975,0.318257923557503,0.153877763467898,-0.0509920521445895,0.912530436507668
5.205,0.320823241660932,0.151187650849839,-0.0438075923449676,0.912459309407944
5.2125,0.323360213298959,0.148468179129948,-0.0366311251781951,0.912331035622006
5.22,0.325868569938646,0.145719685069995,-0.0294630906045699,0.912145780650184
5.2275,0.328348047077454,0.142942507132036,-0.0223039260430162,0.911903712926756
5.235,0.330798384241278,0.140136985434415,-0.0151540663607607,0.911605003788081
5.2425,0.333219324982101,0.137303461708054,-0.00801394386330757,0.911249827440866
5.25,0.335610616875295,0.134442279253059,-0.000883988284706718,0.91083836093059
5.2575,0.337972011516549,0.131553782895623,0.00623537322188051,0.910370784110065
5.265,0.340303264518454,0.128638318945235,0.0133437160933368,0.90984727960815
5.2725,0.342604135506732,0.125696235152203,0.0204406183654483,0.909268032798611
5.28,0.344874388116131,0.122727880665476,0.0275256606814952,0.908633231769124
5.2875,0.347113789985982,0.119733605990771,0.034598426300559,0.907943067290441
5.295,0.349322112755418,0.116713762949015,0.0416585011055635,0.907197732785691
5.3025,0.351499132058281,0.113668704635093,0.0487054736110441,0.906397424299841
5.31,0.353644627517703,0.110598785376896,0.0557389349706525,0.905542340469304
5.3175,0.355758382740373,0.107504360694688,0.0627584789843989,0.9046326824917
5.325,0.357840185310503,0.104385787260776,0.0697637021056434,0.90366865409577
