"Freq [GHz]","mag(St(FloquetPort1:1,FloquetPort1:1)) []","mag(St(FloquetPort2:1,FloquetPort1:1)) []"
5.04,0.328575890554303,0.923138551313065
5.0475,0.329789775352319,0.922708114383009
5.055,0.331001136007016,0.922276877997385
5.0625,0.332209945199224,0.921844859822388
5.07,0.333416176498577,0.921412077362548
5.0775,0.334619804341794,0.920978547961771
5.085,0.335820804011478,0.920544288804394
5.0925,0.337019151615454,0.920109316916227
5.1,0.338214824066604,0.919673649165599
5.1075,0.339407799063206,0.919237302264402
5.115,0.340598055069749,0.918800292769135
5.1225,0.341785571298232,0.918362637081942
5.13,0.3429703276899,0.917924351451654
5.1375,0.344152304897452,0.917485451974822
5.145,0.34533148426766,0.91704595459676
5.1525,0.346507847824432,0.916605875112567
5.16,0.347681378252269,0.916165229168169
5.1675,0.348852058880142,0.915724032261337
5.175,0.350019873665746,0.91528229974272
5.1825,0.35118480718014,0.914840046816865
5.19,0.352346844592761,0.914397288543235
5.1975,0.353505971656797,0.91395403983723
5.205,0.354662174694908,0.913510315471196
5.2125,0.3558154405853,0.913066130075441
5.22,0.356965756748118,0.912621498139237
5.2275,0.358113111132181,0.912176434011829
5.235,0.359257492202021,0.911730951903429
5.2425,0.360398888925233,0.91128506588622
5.25,0.361537290760129,0.910838789895342
5.2575,0.362672687643681,0.910392137729886
5.265,0.363805069979752,0.909945123053875
5.2725,0.3649344286276,0.90949775939725
5.28,0.366060754890654,0.909050060156841
5.2875,0.367184040505556,0.908602038597344
5.295,0.368304277631455,0.908153707852289
5.3025,0.369421458839555,0.907705080925001
5.31,0.3705355771029,0.907256170689562
